                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4493,                 4.2804,                 1.4557,                0.81766,                0.03243,                0.02473,                0.01385,                  2.148,                 3.0776,                 1.3174,               0.070055,              0.0033273,              0.0033273
                      1,                 2.2843,                 2.9071,                 1.2729,                 0.8417,                0.03341,                0.02777,                0.01503,                 2.1657,                 2.6893,                 1.2502,               0.039923,              0.0065287,              0.0065287
                      2,                  2.345,                 2.7887,                 1.2834,                0.28913,                0.03009,                0.02518,                0.01209,                 2.3878,                 2.9396,                 1.3719,              0.0096588,              0.0095982,              0.0095982
                      3,                  2.319,                 2.6769,                 1.2859,                0.24358,                0.04643,                0.03545,                0.01933,                  2.064,                 2.4875,                 1.2464,               0.009406,               0.009406,               0.009406
                      4,                 2.1989,                 2.4888,                 1.2279,                0.33221,                0.05193,                0.04408,                0.02384,                 2.0149,                  2.329,                 1.2043,               0.009406,               0.009406,               0.009406
                      5,                 2.1251,                 2.3127,                 1.2011,                0.33652,                 0.0619,                0.04831,                0.02748,                  1.951,                  2.182,                 1.2056,               0.009208,               0.009208,               0.009208
                      6,                  2.052,                  2.221,                 1.1753,                0.32822,                0.06457,                0.05458,                0.03137,                  1.871,                 2.0729,                 1.1566,                0.00901,                0.00901,                0.00901
                      7,                 2.0158,                 2.1607,                 1.1679,                0.26425,                0.06715,                0.05865,                0.03338,                 1.8158,                 1.9789,                 1.1311,               0.008812,               0.008812,               0.008812
                      8,                 1.9734,                 2.0652,                  1.147,                0.38971,                0.07388,                0.06389,                0.03628,                 1.7711,                  1.914,                 1.1023,               0.008614,               0.008614,               0.008614
                      9,                 1.9266,                  2.025,                 1.1325,                0.34358,                0.06739,                0.06789,                0.03852,                 1.7828,                 2.1101,                 1.1177,               0.008416,               0.008416,               0.008416
                     10,                 1.9105,                 1.9732,                 1.1274,                0.39597,                0.06684,                0.06756,                0.04103,                 1.7157,                 1.8475,                 1.0942,               0.008218,               0.008218,               0.008218
                     11,                 1.8662,                 1.9265,                 1.1112,                0.43604,                0.08032,                0.07915,                0.04884,                 1.6908,                 1.7975,                 1.0909,                0.00802,                0.00802,                0.00802
                     12,                 1.8458,                 1.8923,                 1.1068,                0.43486,                0.07203,                0.07275,                0.04321,                  1.667,                 1.7598,                 1.0776,               0.007822,               0.007822,               0.007822
                     13,                 1.8267,                 1.8492,                 1.1006,                0.45335,                0.07124,                0.07553,                  0.045,                 1.6898,                 1.7518,                 1.0878,               0.007624,               0.007624,               0.007624
                     14,                 1.8097,                 1.8515,                 1.1014,                0.44417,                0.08467,                0.08112,                0.04995,                 1.6189,                 1.7146,                 1.0611,               0.007426,               0.007426,               0.007426
